311915164473647104	positive	RT @ericullrich : Jetzt müsste Berlusconi auf dem Balkon erscheinen :) #papst	RT @ericullrich : jetzt müssen Berlusconi auf die Balkon erscheinen :) #papst	NE NE $. ADV VMFIN NN APPR ART NN VVFIN ADJA NN	2/PNC 0/-- 2/-- 5/MO 3/-- 5/SB 10/MO 9/NK 7/NK 5/OC 12/NK 10/OA	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg|sup=True case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium case=dat|gender=masc|num=sg
311804701974863874	negative	Heute wird es wohl keinen neuen Papst geben . Kein Wunder . Bei der Massenorgie will sicher jeder Kardinal seinen Senf dazu geben .	heute werden es wohl keine neu Papst geben . keine Wunder . bei die Massenorgie wollen sicher jede Kardinal sein Senf dazu geben .	ADV VAFIN PPER ADV PIAT ADJA NN VVINF $. PIAT NN $. APPR ART NN VMFIN ADJD PIAT NN PPOSAT NN PAV VVINF $.	8/MO 0/-- 2/EP 8/MO 7/NK 7/NK 8/OA 2/OC 8/-- 11/NK 9/-- 11/-- 23/MO 15/NK 13/NK 12/-- 18/MO 19/NK 16/SB 21/NK 23/OA 21/NK 16/OC 23/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_100500149::SubjectiveFact=false|gender=fem|EmoExpression::markable_100500149::Uncertain=false|EmoExpression::markable_100500149::Intensity=medium|num=sg|EmoExpression::markable_100500149::Sarcasm=false|EmoExpression::markable_100500149::Polarity=negative|EmoExpression::markable_100500149::EmoExpression=True pers=3|num=sg|tense=pres|mood=ind pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _
312120272272629761	neutral	RT @Der_Postillon : Überraschung ! Katholische Kirche wählt alten , konservativen weißen Mann zum Papst ... http://t.co/kWdBiiFEmE #franziskus	RT @Der_Postillon : Überraschung ! katholisch Kirche wählen alt , konservativ weiß Mann zu Papst ... http://t.co/kWdBiiFEmE #franziskus	NE NN $. NN $. ADJA NN VVFIN ADJA $, ADJA ADJA NN APPRART NN $. NN NN	2/SB 0/-- 2/-- 3/-- 4/-- 7/NK 8/SB 5/-- 13/NK 9/-- 9/CJ 13/NK 8/OA 8/MO 14/NK 15/-- 16/-- 17/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pos=True _ case=dat|gender=masc|num=pl|pos=True case=dat|gender=masc|num=pl|pos=True case=acc|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ _
312104686528389120	negative	#Papst : was für eine mediale Wichtigtuerei wegen einem neuen Vereinsvorsitzenden . Ein Verein , der ziemlich Dreck am Stecken hat .	#Papst : was für eine mediale Wichtigtuerei wegen eine neu Vereinsvorsitzende . eine Verein , die ziemlich Dreck an Stecken haben .	NN $. PWS APPR ART ADJA NN APPR ART ADJA NN $. ART NN $, PRELS ADV NN APPRART NN VAFIN $.	0/-- 1/-- 8/NK 3/MNR 7/NK 7/NK 4/NK 1/MNR 11/NK 11/NK 8/NK 11/-- 14/NK 12/-- 14/-- 21/SB 21/MO 21/OA 18/MNR 19/NK 14/RC 21/--	case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|EmoExpression::markable_104010505::Uncertain=false|gender=fem|EmoExpression::markable_104010505::Intensity=medium|EmoExpression::markable_104010505::EmoExpression=True|num=sg|EmoExpression::markable_104010505::Sarcasm=false|EmoExpression::markable_104010505::SubjectiveFact=false|EmoExpression::markable_104010505::Polarity=negative _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=nom|Target::markable_54::Target=True|Target::markable_54::Anaphref=empty|gender=masc|Sentiment::markable_53::Sentiment=True|Sentiment::markable_53::Sarcasm=false|num=sg|Sentiment::markable_53::Intensity=medium|Target::markable_54::Preferred=true|Sentiment::markable_53::Polarity=negative case=nom|gender=masc|num=sg|Target::markable_54::Target=True|Sentiment::markable_53::Sentiment=True Sentiment::markable_53::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True Intensifier::markable_100500150::EmoExpressionRef=empty|Intensifier::markable_100500150::Intensifier=True|Sentiment::markable_53::Sentiment=True|Intensifier::markable_100500150::Degree=medium case=nom|EmoExpression::markable_55::EmoExpression=True|Sentiment::markable_53::Sentiment=True|gender=masc|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=negative|num=sg|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Sarcasm=false case=dat|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_55::EmoExpression=True case=dat|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_55::EmoExpression=True pers=3|EmoExpression::markable_55::EmoExpression=True|num=sg|tense=pres|mood=ind|Sentiment::markable_53::Sentiment=True Sentiment::markable_53::Sentiment=True
311922800992600064	mixed	Verdammt , das Feuilleton hätte lieber einen homophoben Afrikaner als einen homophoben Südamerikaner als #Papst gesehen .	verdammen , die Feuilleton haben lieb eine homophoben Afrikaner als eine homophoben Südamerikaner als #Papst sehen .	VVPP $, ART NN VAFIN ADJD ART ADJA NN KOKOM ART ADJA NN KOKOM NN VVPP $.	16/MO 1/-- 4/NK 5/SB 0/-- 16/MO 9/NK 9/NK 16/OA 13/CM 13/NK 13/NK 8/CC 13/CD 14/NK 5/OC 16/--	EmoExpression::markable_100500151::EmoExpression=True|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_100500151::SubjectiveFact=false|Sentiment::markable_56::Polarity=comparison|EmoExpression::markable_100500151::Uncertain=false|Sentiment::markable_56::Sarcasm=false|Sentiment::markable_56::Intensity=medium|EmoExpression::markable_100500151::Intensity=medium|EmoExpression::markable_100500151::Sarcasm=false|EmoExpression::markable_100500151::Polarity=negative Sentiment::markable_56::Sentiment=True case=acc|Sentiment::markable_100500152::Intensity=medium|Source::markable_100500152::Anaphref=empty|Sentiment::markable_56::Sentiment=True|gender=neut|Sentiment::markable_100500152::Sarcasm=false|Sentiment::markable_100500152::Polarity=comparison|num=sg|Source::markable_100500152::Source=True|Sentiment::markable_100500152::Sentiment=True case=acc|num=sg|Source::markable_100500152::Source=True|Sentiment::markable_56::Sentiment=True|gender=neut|Sentiment::markable_100500152::Sentiment=True pers=3|num=sg|tense=past|mood=subj|Sentiment::markable_56::Sentiment=True|Sentiment::markable_100500152::Sentiment=True EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_60::Uncertain=false|EmoExpression::markable_60::Polarity=positive|EmoExpression::markable_60::EmoExpression=True|Sentiment::markable_100500152::Sentiment=True|EmoExpression::markable_60::Sarcasm=false case=acc|Target::markable_58::Target=True|Target::markable_58::Anaphref=empty|Sentiment::markable_56::Sentiment=True|gender=masc|Target::markable_58::Preferred=true|num=sg|Sentiment::markable_100500152::Sentiment=True case=acc|Target::markable_58::Target=True|EmoExpression::markable_100500153::Uncertain=false|EmoExpression::markable_100500153::EmoExpression=True|Sentiment::markable_56::Sentiment=True|gender=masc|EmoExpression::markable_100500153::Sarcasm=false|pos=True|EmoExpression::markable_100500153::Polarity=negative|num=sg|EmoExpression::markable_100500153::Intensity=medium|EmoExpression::markable_100500153::SubjectiveFact=false|Sentiment::markable_100500152::Sentiment=True case=acc|Target::markable_58::Target=True|num=sg|Sentiment::markable_56::Sentiment=True|gender=masc|Sentiment::markable_100500152::Sentiment=True Sentiment::markable_56::Sentiment=True|Sentiment::markable_100500152::Sentiment=True case=acc|Sentiment::markable_56::Sentiment=True|gender=masc|Target::markable_59::Preferred=false|num=sg|Target::markable_59::Anaphref=empty|Sentiment::markable_100500152::Sentiment=True|Target::markable_59::Target=True case=acc|EmoExpression::markable_100500154::EmoExpression=True|EmoExpression::markable_100500154::Uncertain=false|Sentiment::markable_56::Sentiment=True|gender=masc|EmoExpression::markable_100500154::Polarity=negative|pos=True|EmoExpression::markable_100500154::Intensity=medium|num=sg|EmoExpression::markable_100500154::SubjectiveFact=false|Sentiment::markable_100500152::Sentiment=True|EmoExpression::markable_100500154::Sarcasm=false|Target::markable_59::Target=True case=acc|num=sg|Sentiment::markable_56::Sentiment=True|gender=masc|Sentiment::markable_100500152::Sentiment=True|Target::markable_59::Target=True Sentiment::markable_56::Sentiment=True|Sentiment::markable_100500152::Sentiment=True case=acc|gender=masc|Sentiment::markable_100500152::Sentiment=True|num=sg|Sentiment::markable_56::Sentiment=True Sentiment::markable_56::Sentiment=True|Sentiment::markable_100500152::Sentiment=True _
311918774129397761	neutral	EIL : Papst Franziskus ist das neue Oberhaupt der Kirche - er ist Südamerikaner ! http://t.co/KA5pF6Pwp2	eilen : Papst Franziskus sein die neu Oberhaupt die Kirche - er sein Südamerikaner ! http://t.co/KA5pF6Pwp2	VVIMP $. NN NE VAFIN ART ADJA NN ART NN $( PPER VAFIN NN $. CARD	5/PAR 1/-- 5/SB 3/NK 0/-- 8/NK 8/NK 5/PD 10/NK 8/AG 10/-- 13/SB 10/PAR 13/PD 14/-- 15/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg _ _
311924782847385600	neutral	RT @DieMarginalen : Der neue Papst hat es nicht mal geschafft , in Argentinien die Homo - Ehe zu verhindern . Da sind wir in Deutschland erfo ...	RT @DieMarginalen : die neu Papst haben es nicht mal schaffen , in Argentinien die Homo - Ehe zu verhindern . da sein wir in Deutschland erfo ...	NE NN $. ART ADJA NN VAFIN PPER PTKNEG ADV VVPP $, APPR NE ART NN $( NN PTKZU VVINF $. ADV VAFIN PPER APPR NE NE $.	2/SB 0/-- 2/-- 6/NK 6/NK 7/SB 3/-- 11/OA 11/NG 11/MO 7/OC 11/-- 20/MO 13/NK 16/NK 20/OA 16/-- 16/CJ 20/PM 8/RE 20/-- 23/MO 21/-- 23/SB 23/MO 25/NK 23/PD 27/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ _ _ _ _ case=dat|gender=neut|num=sg case=nom|gender=fem|num=sg _ _ _ _ _ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ case=dat|gender=neut|num=sg _ _
312124702044868610	neutral	RT @stefanbuesser : Jesus konnte übers Wasser gehen , der neue #Papst ist schon froh , wenn er das Wasser halten kann .	RT @stefanbuesser : Jesus können übers Wasser gehen , die neu #Papst sein schon froh , wenn er die Wasser halten können .	NE NN $. NE VMFIN APPRART NN VVINF $, ART ADJA NN VAFIN ADV ADJD $, KOUS PPER ART NN VVINF VMFIN $.	2/SB 0/-- 2/-- 5/SB 3/-- 8/MO 6/NK 5/OC 8/-- 12/NK 12/NK 13/SB 5/CJ 15/MO 13/PD 15/-- 22/CP 22/SB 20/NK 21/OA 22/OC 13/MO 22/--	case=nom|*=True|num=sg comp=True _ case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ pos=True _ _ case=nom|gender=masc|num=sg|pers=3 case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _
311941458397638656	positive	Zehntausende feiern den neuen Papst : «Viva il Papa ! » http://t.co/0GF8qAglFQ	Zehntausend feiern die neu Papst : «Viva il Papa ! » http://t.co/0GF8qAglFQ	NN VVFIN ART ADJA NN $. NN NE NN $. ADJA NN	2/SB 0/-- 5/NK 5/NK 2/OA 5/-- 5/APP 7/NK 2/OA 9/-- 12/NK 10/--	case=nom|Sentiment::markable_61::Sentiment=True|Sentiment::markable_61::Polarity=positive|gender=neut|Sentiment::markable_61::Intensity=medium|Source::markable_62::Source=True|num=pl|Sentiment::markable_61::Sarcasm=false|Source::markable_62::Anaphref=empty Sentiment::markable_61::Sentiment=True|mood=ind|EmoExpression::markable_100500155::EmoExpression=True|EmoExpression::markable_100500155::Uncertain=false|EmoExpression::markable_100500155::Polarity=positive|EmoExpression::markable_100500155::Sarcasm=false|pers=3|num=pl|tense=pres|EmoExpression::markable_100500155::SubjectiveFact=false|EmoExpression::markable_100500155::Intensity=medium case=acc|Target::markable_64::Anaphref=empty|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_64::Preferred=true|Target::markable_64::Target=True|gender=masc case=acc|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_64::Target=True|gender=masc|pos=True case=acc|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_64::Target=True Sentiment::markable_61::Sentiment=True case=acc|EmoExpression::markable_100500156::Uncertain=false|Sentiment::markable_61::Sentiment=True|EmoExpression::markable_100500156::Sarcasm=false|EmoExpression::markable_100500156::Polarity=positive|gender=masc|EmoExpression::markable_100500156::Intensity=medium|EmoExpression::markable_100500156::EmoExpression=True|num=sg|EmoExpression::markable_100500156::SubjectiveFact=false case=nom|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg case=nom|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg Sentiment::markable_61::Sentiment=True case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl
311921202593673217	neutral	RT @eingenickt : Der Papst guckt erst GZSZ zu Ende , bevor er rauskommt .	RT @eingenickt : die Papst gucken erst GZSZ zu Ende , bevor er rauskommen .	NE VVPP $. ART NN VVFIN ADV NN APPR NN $, KOUS PPER VVFIN $.	2/SB 0/-- 2/-- 5/NK 6/SB 3/-- 6/MO 6/OA 6/MO 9/NK 10/-- 14/CP 14/SB 6/MO 14/--	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _
311924840959467521	negative	Fickt Euch mit Eurem Pabst , oder Frei . Wild oder Kaffeschaum . Ihr seid whack !!	ficken ihr mit euer Pabst , oder frei . Wild oder Kaffeschaum . sie sein whack !!	VVFIN PPER APPR PPOSAT NE $, KON ADJD $. NN KON NN $. PPER VAFIN NN ADJA	0/-- 1/DA 1/MO 5/NK 3/NK 5/-- 3/CD 7/CJ 8/-- 9/-- 10/CD 11/CJ 12/-- 15/SB 13/-- 15/PD 16/NK	EmoExpression::markable_100500159::Sarcasm=false|Sentiment::markable_100500157::Sarcasm=false|mood=ind|EmoExpression::markable_100500159::Intensity=strong|EmoExpression::markable_100500159::Uncertain=false|pers=3|EmoExpression::markable_100500159::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_100500159::Polarity=negative|Sentiment::markable_100500157::Sentiment=True|EmoExpression::markable_100500159::EmoExpression=True|Sentiment::markable_100500157::Intensity=strong|Sentiment::markable_100500157::Polarity=negative case=dat|*=True|num=pl|Sentiment::markable_100500157::Sentiment=True|pers=2 Sentiment::markable_100500157::Sentiment=True case=dat|Target::markable_100500160::Target=True|Target::markable_100500160::Preferred=true|num=sg|Target::markable_100500160::Anaphref=empty|Sentiment::markable_100500157::Sentiment=True|gender=masc case=dat|gender=masc|num=sg|Sentiment::markable_100500157::Sentiment=True|Target::markable_100500160::Target=True _ _ pos=True _ case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg _ case=nom|Sentiment::markable_100500161::Intensity=medium|Sentiment::markable_100500161::Sarcasm=false|Target::markable_100500162::Target=True|*=True|pers=2|Target::markable_100500162::Preferred=true|num=pl|Sentiment::markable_100500161::Sentiment=True|Sentiment::markable_100500161::Polarity=negative|Target::markable_100500162::Anaphref=empty pers=2|Sentiment::markable_100500161::Sentiment=True|num=pl|tense=pres|mood=ind case=nom|EmoExpression::markable_100500163::SubjectiveFact=false|EmoExpression::markable_100500163::Polarity=negative|gender=masc|EmoExpression::markable_100500163::Uncertain=false|EmoExpression::markable_100500163::Intensity=medium|EmoExpression::markable_100500163::EmoExpression=True|num=sg|EmoExpression::markable_100500163::Sarcasm=false|Sentiment::markable_100500161::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_100500161::Sentiment=True
311949322570842112	neutral	RT @RZChefredakteur : Kommentar eines lebenserfahrenen Kollegen zum neuen #Papst : " So sieht man mit 76  aus , wenn man keine Frau hatte . "	RT @RZChefredakteur : Kommentar eine lebenserfahren Kollege zu neu #Papst : " so sehen man mit @card@ aus , wenn man keine Frau haben . "	NE NN $. NN ART ADJA NN APPRART ADJA NN $. $( ADV VVFIN PIS APPR CARD PTKVZ $, KOUS PIS PIAT NN VAFIN $. $(	2/SB 0/-- 2/-- 14/PD 7/NK 7/NK 4/AG 7/MNR 10/NK 8/NK 10/-- 11/-- 14/MO 3/-- 14/SB 14/MO 16/NK 14/SVP 18/-- 24/CP 24/SB 23/NK 24/OA 14/MO 24/-- 25/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg|pos=True case=gen|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ _ _ _ case=nom|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind _ _
311918156618817537	neutral	Der neue Papst heißt also mit Vornamen " Jorge " . Vielleicht kommt er ja mit High - Heels raus !	die neu Papst heißen also mit Vorname " Jorge " . vielleicht kommen er ja mit High - Heels raus !	ART ADJA NN VVFIN ADV APPR NN $( NE $( $. ADV VVFIN PPER ADV APPR NN $( NN PTKVZ $.	3/NK 3/NK 4/SB 0/-- 4/MO 4/MO 6/NK 7/-- 7/VO 9/-- 10/-- 13/MO 11/-- 13/SB 13/MO 13/MO 16/NK 17/-- 17/CJ 13/SVP 20/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=masc|num=pl _ case=dat|gender=fem|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ _ case=dat|*=True|num=sg _ case=acc|gender=neut|num=pl _ _
311909644576645120	neutral	Neuer #Papst und gleichzeitig ein neuer Rücktritt : Andy Rubin tritt als #Android-Chefentwickler zurück .	neu #Papst und gleichzeitig eine neu Rücktritt : Andy Rubin treten als #Android-Chefentwickler zurück .	ADJA NN KON ADJD ART ADJA NN $. NE NN VVFIN KOKOM NN PTKVZ $.	2/NK 11/SB 2/CD 7/MO 7/NK 7/NK 3/CJ 7/-- 10/PNC 2/NK 0/-- 11/MO 12/NK 11/SVP 14/--	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg _ _
311903497312407554	mixed	Tja . Da gibts tatsächlich nach einem 5.  Wahlgang schon einen neuen Papst . Wayne ? xD	Tja . da gibts tatsächlich nach eine @card@ Wahlgang schon eine neu Papst . Wayne ? xD	NE $. KOUS NN ADJD APPR ART CARD NN ADV ART ADJA NN $. NE $. ADJA	0/-- 1/-- 13/MO 3/NK 6/MO 13/MO 9/NK 9/NK 6/NK 13/MO 13/NK 13/NK 2/-- 13/-- 14/-- 15/-- 16/--	case=nom|*=True|num=sg _ _ case=gen|*=True|num=sg pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=nom|EmoExpression::markable_104010506::Uncertain=false|EmoExpression::markable_104010506::Intensity=weak|EmoExpression::markable_104010506::SubjectiveFact=false|gender=fem|EmoExpression::markable_104010506::EmoExpression=True|num=sg|EmoExpression::markable_104010506::Sarcasm=false|EmoExpression::markable_104010506::Polarity=negative _ EmoExpression::markable_65::Uncertain=false|EmoExpression::markable_65::Polarity=positive|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::Intensity=strong|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::SubjectiveFact=false
311901790767550464	mixed	Oh wir haben einen neuen Papst . Halleluja Herr Gott Sakrameni !	oh wir haben eine neu Papst . Halleluja Herr Gott Sakrameni !	ITJ PPER VAFIN ART ADJA NN $. NE NN NN NE $.	2/NK 3/SB 0/-- 6/NK 6/NK 3/OA 6/-- 9/PNC 7/-- 11/PNC 9/NK 11/--	_ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=nom|gender=masc|EmoExpression::markable_104010507::Polarity=positive|EmoExpression::markable_104010507::Sarcasm=false|num=sg|EmoExpression::markable_104010507::Uncertain=false|EmoExpression::markable_104010507::Intensity=medium|EmoExpression::markable_104010507::SubjectiveFact=false|EmoExpression::markable_104010507::EmoExpression=True case=nom|EmoExpression::markable_104010508::Intensity=medium|gender=masc|EmoExpression::markable_104010508::SubjectiveFact=false|EmoExpression::markable_104010508::EmoExpression=True|EmoExpression::markable_104010508::Uncertain=false|num=sg|EmoExpression::markable_104010508::Sarcasm=false|EmoExpression::markable_104010508::Polarity=negative case=nom|gender=masc|num=sg|EmoExpression::markable_104010508::EmoExpression=True case=nom|gender=masc|num=sg|EmoExpression::markable_104010508::EmoExpression=True _
311905663334895617	negative	Schon wieder ein sinnloser , neuer Papst - Name , den sich die Menschheit merken muss .	schon wieder eine sinnlos , neu Papst - Name , die sich die Menschheit merken müssen .	ADV ADV ART ADJA $, ADJA NN $( NN $, PRELS PRF ART NN VVINF VMFIN $.	2/MO 7/MO 7/NK 7/NK 4/-- 4/CJ 0/-- 7/-- 7/CJ 9/-- 15/OA 15/DA 14/NK 15/OA 16/OC 9/RC 16/--	_ _ case=nom|Sentiment::markable_66::Sarcasm=false|num=sg|Sentiment::markable_66::Polarity=negative|Sentiment::markable_66::Sentiment=True|gender=masc|Sentiment::markable_66::Intensity=medium case=nom|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::SubjectiveFact=false|gender=masc|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::EmoExpression=True|pos=True|num=sg|EmoExpression::markable_67::Polarity=negative|Sentiment::markable_66::Sentiment=True|EmoExpression::markable_67::Intensity=medium Sentiment::markable_66::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_66::Sentiment=True case=nom|num=sg|Target::markable_68::Target=True|Sentiment::markable_66::Sentiment=True|gender=masc|Target::markable_68::Preferred=true|Target::markable_68::Anaphref=empty Target::markable_68::Target=True|Sentiment::markable_66::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_68::Target=True|Sentiment::markable_66::Sentiment=True _ case=acc|gender=masc|num=sg case=dat|pers=3|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _
311923410567561217	neutral	Wir haben einen neuen Pabst	wir haben eine neu Pabst	PPER VAFIN ART ADJA NE	2/SB 0/-- 5/NK 5/NK 2/OA	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg
311789371156201472	negative	RT @dr_aktuell : Papst : Atomwaffen komplett abschaffen ! : Papst Benedikt XVI. hat die Teilnehmer der UN - Konferenz zum Atomw ... http://bit . ...	RT @dr_aktuell : Papst : Atomwaffe komplett abschaffen ! : Papst Benedikt XVI. haben die Teilnehmer die UN - Konferenz zu Atomw ... http://bit . ...	NE ADJD $. NN $. NN ADJD VVINF $. $. NN NE NE VAFIN ART NN ART NE $( NN APPRART NN $. NN $. $.	0/-- 1/PD 2/-- 3/-- 4/-- 8/OA 8/MO 4/SB 8/-- 11/-- 14/SB 13/PNC 11/NK 9/-- 16/NK 14/OA 18/NK 16/AG 18/-- 16/APP 20/MNR 21/NK 22/-- 23/-- 24/-- 25/--	case=nom|*=True|num=sg pos=True _ case=nom|gender=masc|num=sg _ case=nom|EmoExpression::markable_104010509::SubjectiveFact=true|EmoExpression::markable_104010509::Sarcasm=false|EmoExpression::markable_104010509::EmoExpression=True|gender=fem|EmoExpression::markable_104010509::Uncertain=false|EmoExpression::markable_104010509::Intensity=medium|EmoExpression::markable_104010509::Polarity=negative|num=pl pos=True EmoExpression::markable_104010510::Uncertain=false|EmoExpression::markable_104010510::Intensity=medium|EmoExpression::markable_104010510::Sarcasm=false|EmoExpression::markable_104010510::SubjectiveFact=false|EmoExpression::markable_104010510::Polarity=negative|EmoExpression::markable_104010510::EmoExpression=True _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=gen|*=True case=gen|*=True _ case=nom|gender=fem|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ _ _
311920322951651330	neutral	Steht der Papst auf dem Balkon , ist es die Kälte nicht , ist es Parkinson…	stehen die Papst auf die Balkon , sein es die Kälte nicht , sein es Parkinson…	VVFIN ART NN APPR ART NN $, VAFIN PPER ART NN PTKNEG $, VAFIN PPER NN	8/MO 3/NK 1/SB 1/MO 6/NK 4/NK 6/-- 0/-- 8/SB 11/NK 9/RE 8/NG 12/-- 8/CJ 14/SB 14/PD	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=nom|gender=neut|num=sg
