311904570395734016	positive	Ob das das Internet aushält ? Soviel Papst auf einmal . Habemus ... %PosSmiley	ob die die Internet aushalten ? soviele Papst auf einmal . Habemus ... %PosSmiley	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. ITJ	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 0/-- 8/MNR 9/NK 10/-- 0/-- 12/-- 12/NK	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311932465117798401	neutral	Franziskus I. nennt sich der neue Papst . Wer ist der neue Pontifex ? Lesen Sie hier ein Porträt .	Franziskus I. nennen sich die neu Papst . wer sein die neu Pontifex ? lesen Sie hier eine Porträt .	NE NE VVFIN PRF ART ADJA NN $. PWS VAFIN ART ADJA NN $. VVFIN PPER ADV ART NN $.	2/PNC 3/SB 0/-- 3/OA 7/NK 7/NK 3/SB 7/-- 10/SB 0/-- 13/NK 13/NK 10/PD 13/-- 0/-- 15/SB 15/MO 19/NK 15/OA 19/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _
311948394354589699	neutral	Der neue Papst ist ein Gamer . Auf Youtube bringt er jeden Tag ein neues Let’s Pray heraus .	die neu Papst sein eine Gamer . auf Youtube bringen er jede Tag eine neu Let’s Pray heraus .	ART ADJA NN VAFIN ART NN $. APPR NN VVFIN PPER PIAT NN ART ADJA NN NN PTKVZ $.	3/NK 3/NK 4/SB 0/-- 6/NK 4/PD 6/-- 10/MO 8/NK 0/-- 10/SB 13/NK 10/MO 16/NK 16/NK 10/OA 16/NK 10/SVP 18/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=masc|num=pl pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _
311922828498853889	mixed	Wer Homosexuelle verurteilt und gleichzeitig von Nächstenliebe spricht , ist bigott ! So einfach ist das ! Da bin ich l ...	wer Homosexuelle verurteilen und gleichzeitig von Nächstenliebe sprechen , sein bigott ! so einfach sein die ! da sein ich l ...	PWS NN VVPP KON ADJD APPR NN VVFIN $, VAFIN ADJD $. ADV ADV VAFIN PDS $. ADV VAFIN PPER NN $.	3/SB 3/OA 10/SB 3/CD 8/MO 8/OP 6/NK 4/CJ 8/-- 0/-- 10/PD 11/-- 14/MO 15/PD 0/-- 15/SB 16/-- 19/MO 0/-- 19/SB 19/PD 21/--	case=nom|Target::markable_10050101::Preferred=true|num=sg|Target::markable_10050101::Anaphref=empty|Sentiment::markable_10050099::Sentiment=True|gender=masc|Target::markable_10050101::Target=True case=acc|*=True|num=pl|Sentiment::markable_10050099::Sentiment=True EmoExpression::markable_10050102::Sarcasm=false|EmoExpression::markable_10050102::Polarity=negative|EmoExpression::markable_10050102::EmoExpression=True|Sentiment::markable_10050099::Sentiment=True|EmoExpression::markable_10050102::Intensity=medium|EmoExpression::markable_10050102::Uncertain=false|EmoExpression::markable_10050102::SubjectiveFact=false Sentiment::markable_10050099::Sentiment=True Sentiment::markable_10050099::Sentiment=True|pos=True Sentiment::markable_10050099::Sentiment=True case=dat|gender=neut|EmoExpression::markable_104013060::SubjectiveFact=true|EmoExpression::markable_104013060::Sarcasm=false|num=sg|EmoExpression::markable_104013060::Polarity=positive|EmoExpression::markable_104013060::EmoExpression=True|Sentiment::markable_10050099::Sentiment=True|EmoExpression::markable_104013060::Uncertain=false|EmoExpression::markable_104013060::Intensity=medium pers=3|Sentiment::markable_10050099::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_10050099::Sentiment=True pers=3|Sentiment::markable_10050099::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_10050103::SubjectiveFact=false|EmoExpression::markable_10050103::Polarity=negative|EmoExpression::markable_10050103::Intensity=medium|EmoExpression::markable_10050103::Sarcasm=false|EmoExpression::markable_10050103::Uncertain=false|pos=True|EmoExpression::markable_10050103::EmoExpression=True|Sentiment::markable_10050099::Sentiment=True Sentiment::markable_10050099::Sentiment=True _ pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=masc|num=sg _
311984890025496576	positive	Papst - Begeisterung in Rom : Polonäse über den Petersplatz : " Viva , viva il Papa Francesco ! " Tausende Gläubige be ...	Papst - Begeisterung in Rom : Polonäse über die Petersplatz : " Viva , Viva il Papa Francesco ! " <UNKNOWN> Gläubige be ...	NN $( NN APPR NE $. NN APPR ART NN $. $( NE $, NE NE NN NE $. $( ADJA NN NE $.	0/-- 1/-- 1/CJ 3/MNR 4/NK 5/-- 3/CJ 7/MNR 10/NK 8/NK 10/-- 11/-- 7/NK 13/-- 16/PNC 13/CJ 18/PNC 16/CC 18/-- 19/-- 22/NK 20/-- 0/NK 23/--	case=nom|gender=masc|num=sg _ case=nom|EmoExpression::markable_104013061::SubjectiveFact=false|EmoExpression::markable_104013061::Polarity=positive|gender=fem|EmoExpression::markable_104013061::Uncertain=false|EmoExpression::markable_104013061::Intensity=medium|EmoExpression::markable_104013061::EmoExpression=True|num=sg|EmoExpression::markable_104013061::Sarcasm=false _ case=dat|gender=neut|num=sg _ case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ EmoExpression::markable_104013062::Sarcasm=false|EmoExpression::markable_104013062::SubjectiveFact=false|EmoExpression::markable_104013062::EmoExpression=True|EmoExpression::markable_104013062::Uncertain=false|EmoExpression::markable_104013062::Polarity=positive|EmoExpression::markable_104013062::Intensity=medium _ case=nom|EmoExpression::markable_104013063::EmoExpression=True|*=True|EmoExpression::markable_104013063::SubjectiveFact=false|EmoExpression::markable_104013063::Sarcasm=false|num=sg|EmoExpression::markable_104013063::Polarity=positive|EmoExpression::markable_104013063::Intensity=medium|EmoExpression::markable_104013063::Uncertain=false *=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl case=nom|*=True|num=sg _
311926552566833153	neutral	So lange der neue Papst nicht mit einem " I AM THE GOD OF HELLFIRE " den Balkon betritt , kann ich ihn nicht ernstnehmen !	so lange die neu Papst nicht mit eine " I AM the GOD of HELLFIRE " die Balkon betreten , können ich er nicht ernstnehmen !	ADV ADV ART ADJA NN PTKNEG APPR ART $( FM NE FM NE FM NE $( ART NN VVFIN $, VMFIN PPER PPER PTKNEG VVINF $.	2/MO 19/MO 5/NK 5/NK 19/SB 19/NG 19/MO 10/NK 8/-- 7/NK 10/UC 10/UC 10/UC 10/UC 10/UC 15/-- 18/NK 19/OA 21/MO 19/-- 0/-- 21/SB 25/OA 21/NG 21/OC 25/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=dat|gender=masc|num=sg _ _ _ _ _ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=masc|num=sg|pers=3 _ _ _
311910710139555840	negative	Italienische Hymne wegen neuem Papst ...? Was soll den das ? omg - Berlusconi ...? HabemusPapam Konklave %User	italienisch Hymne wegen neu Papst ...? was sollen die die ? omg - Berlusconi ...? HabemusPapam Konklave %User	ADJA NN APPR ADJA NN ADJA PWS VMFIN PDS PDS $. NE $( NN ADJA NN NN NE	2/NK 6/OA 6/MO 5/NK 3/NK 0/-- 8/OA 0/-- 10/NK 8/SB 10/-- 14/NK 12/-- 0/-- 14/UC 0/-- 18/PNC 16/NK	case=nom|*=True|num=pl|pos=True case=nom|*=True|num=pl _ case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=nom|EmoExpression::markable_104013064::Uncertain=false|gender=neut|EmoExpression::markable_104013064::EmoExpression=True|EmoExpression::markable_104013064::Polarity=negative|num=sg|EmoExpression::markable_104013064::Sarcasm=false|EmoExpression::markable_104013064::Intensity=medium|EmoExpression::markable_104013064::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_104013064::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_104013064::EmoExpression=True case=nom|gender=neut|num=sg|EmoExpression::markable_104013064::EmoExpression=True _ _ _ case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311919658041241601	negative	Der neue Papst ist 76 Jahre alt ... Wow , der wird sicher grosse Reformen bringen ... AlterSack	die neu Papst sein @card@ Jahr alt ... Wow , die werden sicher groß Reform bringen ... AlterSack	ART ADJA NN VAFIN CARD NN ADJD $. NE $, PRELS VAFIN ADJD ADJA NN VVINF $. NN	3/NK 3/NK 4/SB 0/-- 6/NK 7/AMS 4/PD 7/-- 12/VO 9/-- 12/SB 0/-- 14/MO 15/NK 16/OA 12/OC 16/-- 0/--	case=nom|Target::markable_10050105::Target=True|Target::markable_10050105::Preferred=true|Target::markable_10050105::Anaphref=empty|gender=masc|Sentiment::markable_10050104::Intensity=weak|num=sg|Sentiment::markable_10050104::Sentiment=True|Sentiment::markable_10050104::Sarcasm=false|Sentiment::markable_10050104::Polarity=negative case=nom|num=sg|Sentiment::markable_10050104::Sentiment=True|gender=masc|Target::markable_10050105::Target=True|pos=True case=nom|gender=masc|num=sg|Target::markable_10050105::Target=True|Sentiment::markable_10050104::Sentiment=True pers=3|Sentiment::markable_10050104::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_10050104::Sentiment=True case=acc|gender=neut|num=pl|Sentiment::markable_10050104::Sentiment=True Sentiment::markable_10050104::Sentiment=True|pos=True Sentiment::markable_10050104::Sentiment=True EmoExpression::markable_104013065::Polarity=positive|Sentiment::markable_10050104::Sentiment=True|EmoExpression::markable_104013065::EmoExpression=True|EmoExpression::markable_104013065::Uncertain=false|EmoExpression::markable_104013065::Intensity=medium|EmoExpression::markable_104013065::Sarcasm=true|EmoExpression::markable_104013065::SubjectiveFact=false Sentiment::markable_10050104::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_10050104::Sentiment=True pers=3|Sentiment::markable_10050104::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_10050104::Sentiment=True|pos=True case=acc|gender=fem|Sentiment::markable_10050104::Sentiment=True|num=pl|pos=True case=acc|EmoExpression::markable_104013066::Intensity=medium|gender=fem|EmoExpression::markable_104013066::SubjectiveFact=true|EmoExpression::markable_104013066::Polarity=positive|EmoExpression::markable_104013066::Uncertain=false|num=pl|EmoExpression::markable_104013066::Sarcasm=false|Sentiment::markable_10050104::Sentiment=True|EmoExpression::markable_104013066::EmoExpression=True Sentiment::markable_10050104::Sentiment=True|EmoExpression::markable_104013066::EmoExpression=True Sentiment::markable_10050104::Sentiment=True case=nom|gender=masc|num=sg
312203033687777280	positive	Wie mich dieses neuer Papst - Gerede ankotzt .	wie ich dies neu Papst - Gerede ankotzen .	KOUS PRF PDAT ADJA NN $( NN VVFIN $.	8/CP 8/OA 5/NK 5/NK 8/PAR 5/-- 8/OA 0/-- 8/--	Intensifier::markable_10050106::Degree=medium|Sentiment::markable_58::Sentiment=True|Sentiment::markable_58::Polarity=positive|Intensifier::markable_10050106::EmoExpressionRef=emo-expression:markable_60|Intensifier::markable_10050106::Intensifier=True|Sentiment::markable_58::Sarcasm=false|Sentiment::markable_58::Intensity=strong case=acc|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|Source::markable_61::Anaphref=empty|*=True|Source::markable_61::Source=True case=gen|Sentiment::markable_58::Sentiment=True|num=sg|Target::markable_59::Anaphref=empty|gender=neut|Target::markable_59::Preferred=true|Target::markable_59::Target=True case=nom|Sentiment::markable_58::Sentiment=True|num=sg|gender=masc|pos=True|Target::markable_59::Target=True case=nom|gender=masc|Sentiment::markable_58::Sentiment=True|num=sg|Target::markable_59::Target=True Sentiment::markable_58::Sentiment=True|Target::markable_59::Target=True case=acc|EmoExpression::markable_104013067::SubjectiveFact=false|EmoExpression::markable_104013067::Sarcasm=false|EmoExpression::markable_104013067::EmoExpression=True|gender=neut|EmoExpression::markable_104013067::Uncertain=false|Sentiment::markable_58::Sentiment=True|EmoExpression::markable_104013067::Intensity=medium|EmoExpression::markable_104013067::Polarity=negative|num=pl|Target::markable_59::Target=True mood=ind|EmoExpression::markable_60::SubjectiveFact=false|EmoExpression::markable_60::Uncertain=false|pers=3|EmoExpression::markable_60::Polarity=negative|Sentiment::markable_58::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Intensity=strong Sentiment::markable_58::Sentiment=True
311954013572718594	negative	neuer papst bezeichnet die homöhe als intrige des teufel und das adoptionsrecht der paare als kindesmissbrauch. noch härter geht es nicht .	neu Papst bezeichnen die homöhe als Intrige die Teufel und die Adoptionsrecht die paaren als kindesmissbrauch. noch hart gehen es nicht .	ADJA NN VVFIN ART NN KOKOM NN ART NN KON ART NN ART VVFIN KOKOM ADJD ADV ADJD VVFIN PPER PTKNEG $.	2/NK 3/SB 0/-- 5/NK 3/OA 3/MO 6/NK 9/NK 7/AG 7/CD 12/NK 10/CJ 14/NK 12/AG 16/CM 14/MO 18/MO 19/MO 3/CJ 19/EP 19/NG 21/--	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|EmoExpression::markable_104013068::Uncertain=false|EmoExpression::markable_104013068::Intensity=medium|EmoExpression::markable_104013068::SubjectiveFact=false|gender=fem|EmoExpression::markable_104013068::EmoExpression=True|num=sg|EmoExpression::markable_104013068::Sarcasm=false|EmoExpression::markable_104013068::Polarity=negative case=gen|gender=masc|num=sg case=gen|gender=masc|EmoExpression::markable_104013069::Polarity=negative|EmoExpression::markable_104013069::Sarcasm=false|num=sg|EmoExpression::markable_104013069::Uncertain=false|EmoExpression::markable_104013069::Intensity=medium|EmoExpression::markable_104013069::SubjectiveFact=false|EmoExpression::markable_104013069::EmoExpression=True _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ EmoExpression::markable_104013070::SubjectiveFact=false|EmoExpression::markable_104013070::Intensity=medium|EmoExpression::markable_104013070::Polarity=negative|EmoExpression::markable_104013070::Sarcasm=false|EmoExpression::markable_104013070::EmoExpression=True|EmoExpression::markable_104013070::Uncertain=false|pos=True _ EmoExpression::markable_104013071::Uncertain=false|EmoExpression::markable_104013071::Polarity=negative|EmoExpression::markable_104013071::Sarcasm=false|EmoExpression::markable_104013071::Intensity=medium|comp=True|EmoExpression::markable_104013071::SubjectiveFact=false|EmoExpression::markable_104013071::EmoExpression=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|EmoExpression::markable_104013071::EmoExpression=True|num=sg|pers=3 EmoExpression::markable_104013071::EmoExpression=True _
311906450932912129	positive	Gutes Datum , gutes Omen ? Der neue Papst ist am 13 . März 2013 gewählt .	gut Datum , gut Omen ? die neu Papst sein an 13 . März @card@ wählen .	ADJA NN $, ADJA NN $. ART ADJA NN VAFIN APPRART CARD $. NN CARD VVPP $.	2/NK 0/-- 2/-- 5/NK 2/CJ 5/-- 9/NK 9/NK 10/SB 0/-- 16/MO 16/MO 12/-- 11/NK 14/NK 10/OC 16/--	case=nom|EmoExpression::markable_104013072::Uncertain=false|gender=neut|EmoExpression::markable_104013072::Intensity=medium|pos=True|EmoExpression::markable_104013072::SubjectiveFact=false|EmoExpression::markable_104013072::Sarcasm=false|EmoExpression::markable_104013072::Polarity=positive|num=sg|EmoExpression::markable_104013072::EmoExpression=True case=nom|gender=neut|num=sg _ case=nom|EmoExpression::markable_104013073::Uncertain=false|gender=neut|pos=True|EmoExpression::markable_104013073::EmoExpression=True|EmoExpression::markable_104013073::Polarity=positive|num=sg|EmoExpression::markable_104013073::Sarcasm=false|EmoExpression::markable_104013073::Intensity=medium|EmoExpression::markable_104013073::SubjectiveFact=false case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg _ _ case=dat|gender=masc|num=sg _ _ _
311816444847460352	neutral	Aus Spass wurde Ernst . Ernst wird vielleicht Papst . Ja , auch Päpste waren mal Teil eines Orgasmusses .	aus Spaß werden Ernst . ernst werden vielleicht Papst . ja , auch Papst sein mal Teil eine Orgasmusses .	APPR NN VAFIN NE $. ADJD VAFIN ADV NN $. PTKANT $, ADV NN VAFIN ADV NN ART NN $.	3/MO 1/NK 0/-- 3/SB 4/-- 7/PD 0/-- 9/MO 7/SB 9/-- 15/DM 11/-- 14/MO 15/SB 0/-- 15/MO 15/PD 19/NK 17/AG 19/--	_ case=dat|gender=masc|num=pl pers=3|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg _ pos=True pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg _ _ _ _ case=nom|gender=masc|num=pl pers=3|num=pl|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg _
311927940743061504	negative	Warum regt ihr euch über den neuen Papst auf ? Es ist die katholische Kirche , herrje . Was habt ihr denn gedacht - Obama macht ' s ?	warum regen ihr ihr über die neu Papst auf ? es sein die katholisch Kirche , herrje . was haben ihr denn denken|gedenken - Obama machen ' s ?	PWAV VVFIN PPER PPER APPR ART ADJA NN PTKVZ $. PPER VAFIN ART ADJA NN $, NE $. PWS VAFIN PPER ADV VVPP $( NN VVFIN $( NN $.	2/MO 0/-- 2/DA 2/DA 2/OP 8/NK 8/NK 5/NK 2/SVP 9/-- 12/SB 0/-- 15/NK 15/NK 12/PD 15/-- 15/APP 17/-- 25/NK 0/-- 23/DA 23/MO 20/OC 23/-- 26/OA 23/PAR 26/-- 26/OA 28/--	Sentiment::markable_10050107::Intensity=medium|Sentiment::markable_10050107::Sarcasm=false|Sentiment::markable_10050107::Polarity=negative|Sentiment::markable_10050107::Sentiment=True EmoExpression::markable_10050108::Intensity=medium|mood=ind|Sentiment::markable_10050107::Sentiment=True|EmoExpression::markable_10050108::Sarcasm=false|EmoExpression::markable_10050108::EmoExpression=True|EmoExpression::markable_10050108::Polarity=negative|pers=3|num=sg|tense=pres|EmoExpression::markable_10050108::SubjectiveFact=false|EmoExpression::markable_10050108::Uncertain=false case=dat|pers=3|Sentiment::markable_10050107::Sentiment=True|num=sg|Source::markable_10050110::Anaphref=empty|gender=fem|Source::markable_10050110::Source=True case=dat|pers=2|num=pl|Sentiment::markable_10050107::Sentiment=True|*=True|EmoExpression::markable_10050108::EmoExpression=True Sentiment::markable_10050107::Sentiment=True case=acc|num=sg|Sentiment::markable_10050107::Sentiment=True|Target::markable_10050109::Preferred=true|gender=masc|Target::markable_10050109::Anaphref=empty|Target::markable_10050109::Target=True case=acc|num=sg|Sentiment::markable_10050107::Sentiment=True|gender=masc|Target::markable_10050109::Target=True|pos=True case=acc|gender=masc|num=sg|Target::markable_10050109::Target=True|Sentiment::markable_10050107::Sentiment=True Sentiment::markable_10050107::Sentiment=True|EmoExpression::markable_10050108::EmoExpression=True Sentiment::markable_10050107::Sentiment=True case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=acc|gender=neut|num=sg pers=2|num=pl|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 _ _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _
311931054661451776	neutral	Der neue Papst heisst Franziskus , dann wird ja der Kirchenschatz verteilt . Und er redet mit Tieren .	die neu Papst heißen Franziskus , dann werden ja die Kirchenschatz verteilen . und er reden mit Tier .	ART ADJA NN VVFIN NE $, ADV VAFIN ADV ART NN VVPP $. KON PPER VVFIN APPR NN $.	3/NK 3/NK 4/SB 0/-- 4/SB 5/-- 12/MO 4/CJ 12/MO 11/NK 8/SB 8/OC 12/-- 16/JU 16/SB 0/-- 16/OP 17/NK 18/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=neut|num=pl _
311922975236558848	positive	Wir freuen uns über unseren neuen Papst Franziskus I. und wünschen ihm viel Kraft für seine neue Aufgabe !	wir freuen wir über unser neu Papst Franziskus I. und wünschen er viele Kraft für sein neu Aufgabe !	PPER VVFIN PPER APPR PPOSAT ADJA NN NE NE KON VVFIN PPER PIAT NN APPR PPOSAT ADJA NN $.	2/SB 0/-- 2/OA 2/OP 7/NK 7/NK 4/NK 9/PNC 7/NK 2/CD 10/CJ 11/DA 14/NK 11/OA 14/MNR 18/NK 18/NK 15/NK 18/--	case=nom|Sentiment::markable_10050112::Sarcasm=false|*=True|Sentiment::markable_10050112::Intensity=medium|pers=1|Source::markable_10050113::Source=True|num=pl|Sentiment::markable_10050112::Sentiment=True|Sentiment::markable_10050112::Polarity=positive|Source::markable_10050113::Anaphref=empty mood=ind|EmoExpression::markable_10050114::EmoExpression=True|EmoExpression::markable_10050114::Intensity=medium|EmoExpression::markable_10050114::Sarcasm=false|EmoExpression::markable_10050114::Uncertain=false|pers=1|EmoExpression::markable_10050114::Polarity=positive|num=pl|tense=pres|Sentiment::markable_10050112::Sentiment=True|EmoExpression::markable_10050114::SubjectiveFact=false case=acc|pers=1|num=pl|Sentiment::markable_10050112::Sentiment=True|EmoExpression::markable_10050114::EmoExpression=True|*=True Sentiment::markable_10050112::Sentiment=True case=acc|Target::markable_10050115::Anaphref=empty|num=sg|Sentiment::markable_10050112::Sentiment=True|gender=masc|Target::markable_10050115::Preferred=true|Target::markable_10050115::Target=True case=acc|Target::markable_10050115::Target=True|num=sg|Sentiment::markable_10050112::Sentiment=True|gender=masc|pos=True case=acc|gender=masc|num=sg|Sentiment::markable_10050112::Sentiment=True|Target::markable_10050115::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_10050112::Sentiment=True|Target::markable_10050115::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_10050112::Sentiment=True|Target::markable_10050115::Target=True _ EmoExpression::markable_104013074::EmoExpression=True|mood=ind|EmoExpression::markable_104013074::SubjectiveFact=false|EmoExpression::markable_104013074::Sarcasm=false|pers=3|num=pl|tense=pres|EmoExpression::markable_104013074::Polarity=positive|EmoExpression::markable_104013074::Intensity=medium|EmoExpression::markable_104013074::Uncertain=false case=dat|gender=masc|num=sg|pers=3 *=True case=acc|EmoExpression::markable_104013075::Sarcasm=false|EmoExpression::markable_104013075::EmoExpression=True|EmoExpression::markable_104013075::SubjectiveFact=false|gender=fem|EmoExpression::markable_104013075::Polarity=positive|num=sg|EmoExpression::markable_104013075::Uncertain=false|EmoExpression::markable_104013075::Intensity=medium _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _
311849565726863361	positive	Das mit dem weissen Rauch haben die liebe %User und ich gestern schneller hingekriegt . Sind wir dann jetzt Papst ?	die mit die weiß Rauch haben die lieb %User und ich gestern schnell hinkriegen . sein wir dann jetzt Papst ?	ART APPR ART ADJA NN VAFIN ART ADJA NE KON PPER ADV ADJD VVPP $. VAFIN PPER ADV ADV NN $.	6/SB 1/MNR 5/NK 5/NK 2/NK 0/-- 9/NK 9/NK 14/OA 9/CD 10/CJ 14/MO 14/MO 6/OC 14/-- 0/-- 16/SB 16/MO 16/MO 16/PD 20/--	case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_104013076::SubjectiveFact=false|EmoExpression::markable_104013076::Polarity=positive|gender=masc|EmoExpression::markable_104013076::Uncertain=false|pos=True|EmoExpression::markable_104013076::Intensity=medium|EmoExpression::markable_104013076::EmoExpression=True|num=sg|EmoExpression::markable_104013076::Sarcasm=false case=dat|gender=masc|EmoExpression::markable_104013076::EmoExpression=True|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_104013077::Sarcasm=false|EmoExpression::markable_104013077::Polarity=positive|EmoExpression::markable_104013077::EmoExpression=True|comp=True|EmoExpression::markable_104013077::Uncertain=false|EmoExpression::markable_104013077::Intensity=medium|EmoExpression::markable_104013077::SubjectiveFact=false EmoExpression::markable_104013078::EmoExpression=True|EmoExpression::markable_104013078::Intensity=medium|EmoExpression::markable_104013078::Uncertain=false|EmoExpression::markable_104013078::SubjectiveFact=false|EmoExpression::markable_104013078::Polarity=positive|EmoExpression::markable_104013078::Sarcasm=false _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ case=nom|gender=masc|num=sg _
311832008500322306	neutral	und was das genau für chemikalien sind welche da beigemischt werden ... Vatikan Papst smokeontheroof umwelt	und was die genau für Chemikalie sein welche da beimischen werden ... Vatikan Papst smokeontheroof umwelt	KON PIS ART ADJD APPR NN VAFIN PIS ADV VVPP VAINF $. NN NN NE ADJA	7/JU 7/PD 4/NK 5/MO 2/MNR 5/NK 0/-- 7/SB 10/MO 11/OC 7/OC 11/-- 16/SB 13/NK 14/NK 0/--	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pos=True _ case=acc|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind
