sentenceid	sentenceurl	sentence	fact_rater1	fact_rater2	fact_rater3	fact_majority	pol_rater1	pol_rater2	pol_rater3	pol_majority
218	http://www.palaestinensische-gemeinde.at/plassnik2.shtml	"Am Ende dieses Weges müsse "" eine Friedenslösung mit zwei unabhängigen Staaten stehen , deren Bürger in Frieden und Sicherheit und frei von Terror und äußerem Druck leben können "" , so Plassnik ."	s	s	s	s	+	+	+	+
219	http://www.rafa.at/19bjoern.htm	So manch ein Psychopath wird möglicherweise erst durch das Bild , welches zur Auflagensteigerung in der Öffentlichkeit erzeugt wird , dazu gedrängt , dieses ( durch und durch falsche ) Bild des Satanismus in sein eigenes Wahngebäude zu intergrieren , um eine Rechtfertigung ( Satan wollte es so ) für seine Schandtaten zu haben , eine höhere Kraft , an die er die Verantwortung für seine Straftat delegieren kann .	s	s	s	s	-	-	-	-
220	http://www.doew.at/thema/vergangen/problnsverg.bak	Ich darf zuerst für die Einladung zur Mitwirkung herzlich danken und Herrn Ntsebeza meinen Respekt und Sympathie für sein Land zum Ausdruck bringen , das unter der Führung von Nelson Mandela der ganzen Menschheit ein Vorbild für eine friedliche , demokratische und humane Revolution gegeben hat .	s	s	s	s	+	+	+	+
221	http://www.amazon.de/review/R1G20Y83A6CZJS	Bei all dieser Vielfalt geizt er natürlich nicht mit witzigen Anekdoten , die keine Langeweile beim Lesen aufkommen lassen .	s	s	s	s	+	+	+	+
222	http://www.m4m.de/bildung/rdkernfu-iter.htm	Im Vergleich zur Kernspaltung gibt es deutlich weniger langlebige und leichter handhabbare radioaktive Abfälle .	o	s	s	s	+	+	+	+
223	http://www.ra-kotz.de/stundenzettel.htm	Zum Einen ist berechtigterweise das Vertrauen der Beklagten in die Redlichkeit des Klägers und die Richtigkeit seiner Abrechnungen gestört .	s	s	s	s	-	-	-	-
224	http://www.kaukasische-post.de/KP43/kult2.htm	Jedermann wußte , daß , dies zweifellos höchste Erregung bedeutete .	s	s	s	s	0	0	0	0
225	http://www.aus-portal.de/rechtsprechung/entscheidungen/ctg1079949622962/130.html	Für die bei Zweifeln darüber hinaus mögliche Heranziehung weiterer Auslegungskriterien ( Tarifgeschichte , praktische Tarifübung und Entstehungsgeschichte des Tarifvertrages ) gibt es keinen Zwang zu einer bestimmten Reihenfolge .	o	o	o	o	0	0	0	0
226	http://www.pointernet.pds.hu/kissendre/civilizacioelmelet/20060108121207500000000963.html	Dass diese Maengel der begrifflichen Aufarbeitung - gewollt oder ungewollt - gewissen sozialen Gruppen handgreifliche Vorteile , waehrend anderen Gruppen ebenso handgreifliche Nachteile bereiten , versteht sich von selber .	s	s	s	s	-	-	-	-
227	http://www.bingen.bistummainz.de/bistum/bistum/kardinal/texte/texte_2004/rainer.html	Kunst ist gerade so Steigerung des Lebens , der Lebendigkeit in Freude und Leid , in Sympathie und Empathie , was nicht zuletzt den Gemeinschaftscharakter gelingenden menschlichen Lebens zur Geltung zu bringen vermag .	s	s	s	s	+	+	+	+
228	http://www.projektwerkstatt.de/hoppetosse/widerstand/bericht1.htm	Gründet in Regionen und Städten Gruppen , die sich auf kreativen und direkten Widerstand vorbereiten - am besten über Gruppengrenzen hinweg , so daß das KnowHow dann in viele Gruppen zurückfließen und bei verschiedensten Aktionen verwendet werden kann ( Antifa , Anti-Atom , Großbaustellen , Aktionen gegn Gefängnisse , Abschiebungen , Gelöbnisse usw. und natürlcih die überregionalen Großaktionen ) .	o	o	o	o	0	0	0	0
229	http://www.drosi.de/md/md99_96.htm	Er hat feines schulterlanges blondes Haar und blaue Auge , die einen wachen Geist verraten .	s	s	s	s	+	+	+	+
230	http://www.johnkerl.org/randspell/wordlists/input-german.txt	Blutsauger wie Robin schicken die Vampirin auf die Jagd , um sich in der Sonne knusprig braun brennen zu lassen und gefallene Gegner per herzhaftem Biss zu treuen Gefolgsleuten zu machen .	s	s	s	s	0	-	-	-
231	http://www.dr-schnitzer.de/srep425.htm	Erhebliche Steigerung der Widerstandskraft gegen Erkrankungen .	o	s	s	s	+	+	+	+
232	http://www.dr-schnitzer.de/srep402.htm	Bisher nie krank gewesen , auch keine Kinderkrankheiten , vollkommen gesundes Gebiß ohne Plomben .	o	s	s	s	+	+	+	+
233	http://www.dieterwunderlich.de/Sijie_Balzac.htm	Dezember 2003 kam die von Dai Sijie selbst wunderbar leicht inszenierte Verfilmung des Romans in die deutschen Kinos .	s	s	s	s	+	+	+	+
234	http://www.amazon.de/Starke-Frauen-Herlinde-Koelbl/dp/product-description/3897165430	Denn wer sich derart einer wunderbar sensibel geführten und im wahrsten Sinne hautnahen Kamera hingibt , nackt , ungeschützt , vertrauensvoll , gleichzeitig stolz und selbstbewusst , der ist wohl wirklich im Einklang mit sich selbst .	s	s	s	s	+	+	+	+
235	http://www.kindergartenpaedagogik.de/410.html	In Spiele sollen sie freudig und allseitig , alle Kräfte übend und bildend , in schuldloser Heiterkeit , Einträchtigkeit und frommer Kindlichkeit sich darleben , für die Schule und kommenden Lebensstufen sich wahrhaft vorbereiten , wie die Gewächse in einem Garten unter dem Segen des Himmels und der aufsehenden Pflege des Gärtners gedeihen .	o	s	s	s	+	+	+	+
236	http://www.astro.uni-bonn.de/~dfischer/news/580.html	Doch die Theoretiker tun sich immer noch schwer , dem Mars eine stabile dichte Atmosphäre zu verschaffen - und nun gibt es ein alternatives Modell , bei dem große Einschläge in der Epoche des » starken Bombardements « vor 3.5 Mrd. Jahren für kurzzeitig fließendes Wasser gesorgt haben .	s	o	o	o	0	0	-	0
237	http://nva.bizhat.com/nvaentwaffnung.htm	Am 9.11.2000 appellierten wir erneut angesichts zunehmender Menschenrechtsverletzungen in Papua an Außenminister Fischer , keinen Missbrauch der ehemaligen NVA-Schiffe zu dulden .	s	s	s	s	-	-	-	-
238	http://www.ku-ki.de/praxishandbuch_kuki.pdf	Wir meinen damit eine umfassende Kulturarbeit und eine Liebe , die frei wird von Angst für alle Beteiligten .	s	s	s	s	+	+	+	+
239	http://www.jurawelt.com/gerichtsurteile/sonstige/arbeitsrecht/bag/1718	Hinzu kommen faktisch für den Spediteur unverzichtbare Kontrollen mit Rücksicht auf seine versicherungsrechtlichen Obliegenheiten .	o	s	s	s	0	-	0	0
240	http://www.teachsam.de/deutsch/d_ubausteine/schr_ub/txteroert_ub/tero_txt_5_ub_11.htm	Und eine Schule , die sich in dieser Weise profilieren kann , wird die dann sicher geringer ausfallenden Disziplinprobleme nicht mit Schuluniformen zu bekämpfen haben .	s	s	s	s	+	+	+	+
241	http://www.bendorf-geschichte.de/bdf-0132.htm	"Die Versorgung der Eisenschmelzen mit dem "" Brennstoff "" Holzkohle war schon immer ein recht ernsthaftes Problem ."	s	s	s	s	-	-	-	-
242	http://www.lebensformen.diealternativen.de/lform-pilger.htm	Ihre Fahrräder sind für sie ein Transportmittel , es besteht kein sportlicher Ehrgeiz .	s	s	s	s	0	0	0	0
243	http://www.praevention.at/seiten/index.php/nav.23/view.273/level.3/	Das intensive Eingreifen der Droge in das Empfinden löst Euphorie aber auch oft Angst bis hin zu offener Panik aus ( schlechter Film ) , woraus sich der Konsument nur selten allein lösen kann .	o	o	o	o	-	-	-	-
244	http://www.bikonline.de/histo/hinter1.html	Die Folge war hohe Arbeitslosigkeit im Textilgewerbe , das hauptsächlich für den Export produzierte .	o	o	o	o	-	-	-	-
245	http://www.geburtsschaden.de/fakten.html	Da Dr. Fink im Urlaub war und unser Sohn starkes Fieber hatte , mußten wir am 05.01.199X zu ihm in die Praxis .	o	o	o	o	-	-	-	-
246	http://www.falungong.de/printpreview/pressemitteilungen/1067804674.html	Vernichtet die Falun Gong-Praktizierenden geistig und körperlich durch systematische , staatlich sanktionierte Zwangsarbeit , Gehirnwäsche , Folter und Mord .	o	o	o	o	-	-	-	-
247	http://www.antiimperialista.org/node/3669	Die Bush-Administration , das Pentagon und all diejenigen , die sie bei ihrem illegalen Aggressionskrieg gegen den Irak unterstützt haben , bei einem Verbrechen gegen den Frieden , einem Verbrechen des Krieges und einem Verbrechen gegen die Menschlichkeit .	s	o	s	s	-	-	-	-
248	http://www.helles-koepfchen.de/optische-taeuschungen.html	Machst du das nicht , so entsteht eine perfekte Verwirrung .	s	s	s	s	0	-	-	-
249	http://www.kommunisten-online.de/btgedanken2.htm	Und von außen wirkte ( dank dieser inneren Schwächen immer nachhaltiger ) der Gegner , indem er die mit der fortschreitenden Technologie verbundene spontane Differenzierung der Arbeiterklasse durch Vervolkommnung seiner antirevolutionären Strategie durch immer perfektere Verbindung von Korruption , Demagogie und oft verfeinertem Terror ausnutzte .	s	s	s	s	-	-	-	-
250	http://www.mumia.de/doc/aktuell/20020305m18pg00de.html	Die dabei am meisten erfaßte und von rassistisch motivierter Repression betroffene Bevölkerungsgruppe sind Flüchtlinge , Migrantinnen und Migranten .	o	o	o	o	-	-	-	-
251	http://www.katzendiabetes.de/Abschied/1727793.htm	Ich spüre dann vollkommen meine Liebe für diesen besonderen Freund und die Trauer über diesen Verlust.	s	s	s	s	+	+	+	+
252	http://www.astrologix.de/artikel/newastro/kern_chiron.html	Also Schmerz und Heil , Lust und Unmut , Freude und Leid .	o	s	o	o	0	0	0	0
253	http://www.der-farang.com/?article=2004/16/mitwellness	Und darum wird auch jeder zu einer anderen Mixtur greifen wollen , um auf seine Weise Stress abzubauen , Energie zu tanken und damit neue Lebenslust zu finden .	o	o	s	o	0	-	+	0
254	http://www.nfsa.de/old_hp/dvd/spiel_mir_das_lied_vom_tod.html	Als er im darauffolgenden Jahr im Mai in den USA anlief , brachte er jedoch nur durchschnittliche Einnahmen und bekam schlechte Kritiken .	o	o	o	o	-	-	-	-
255	http://www.zentralstelle-kdv.de/z.php?ID=201	Das bedeutet nämlich , daß bei einem angenommenen Wegfall aller Zivildienstleistenden in der stationären Altenhilfe das Gesamtvolumen des damaligen Ergebnisses zwischen Heimen und Kostenträgern um weitere 150 Prozent erhöht werden müßte .	s	o	s	s	-	-	-	-
256	http://www.narren-spiegel.de/braeuche/hemdglonker.html	"Die erleuchteten schwankenden "" Hauszelte "" tragen im besonderen Maße zum optischen Reiz des nächtlichen Umgangs bei ."	o	s	o	o	+	+	+	+
257	http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:61983J0014:DE:HTML	Allerdings schreibt die Richtlinie keine bestimmte Sanktion vor , sondern beläßt den Mitgliedstaaten die Freiheit der Wahl unter den verschiedenen , zur Verwirklichung ihrer Zielsetzung geeigneten Lösungen .	o	o	o	o	0	0	0	0
258	http://vorort.bund.net/suedlicher-oberrhein/energieverschwendung-trea-breisgau.html	Die im Genehmigungsverfahren durchgespielten Lastfälle hatten die nutzbare Abwärmemenge leider schon von vorne herein an einen angenommenen geringeren Bedarf angepasst .	s	s	s	s	-	-	-	-
259	http://www.nexusboard.net/sitemap/4802/das-leidige-thema-die-mannerwelt-t297403-p3/	Hallo ratemal , das mit dem Essen ist schon ein leidiges , aber ein echt ernstes Thema .	s	s	s	s	-	-	-	-
260	http://anmelden.net/Homepage-Internet/	Angebote für die recht komplizierten Gewerbeversicherungen werden sehr sorgfältig und umfangreich erarbeitet .	o	o	o	o	+	+	+	+
261	http://www.schoenstatt.de/news2000/tb_y2k03/yk080101.htm	"Darin lernt der Junge Robert das Ritterleben kennen , erfährt , dass ein "" ritterliches Herz "" wichtiger ist als der Gewinn eines Streits ."	o	o	o	o	+	0	+	+
262	http://www.netzpunkt.de/konflikt/irak/archiv/nzz_utopia_irak_9042003.htm	In andern Ländern - Russland ist hier das prominenteste Beispiel - existierten diese Voraussetzungen nicht , und deshalb verläuft dort der Übergang zu einer wirklich freien , offenen und demokratischen Gesellschaft sehr holprig , um das Mindeste zu sagen .	s	s	s	s	-	-	-	-
263	http://www.startrek-index.de/tv/voyager/print/voy5_6.htm	Unglaubliche Spannung , nie gesehene Special Effects und eine geniale Handlung machen diese Episode zu einem absoluten Highlight der bisher ohnehin nicht schlecht angefangenen fünften Staffel .	s	s	s	s	+	+	+	+
264	http://www.gutefrage.net/frage/gute-tips-fuer-eine-diaet	Wenn Ihnen der langweilige und nach nichts schmeckende Magerquark , der Tofu oder das Müsli zum Hals heraushängen und Sie Appetit auf eine Schweinshaxe oder einen Käse mit 75 % Fett haben , dann genießen Sie diese leckeren Speisen ohne schlechtes Gewissen und ohne Angst , gleich eine Kleidergröße mehr zu benötigen .	o	s	o	o	+	+	+	+
265	http://www.dvdcheck.de/reviews/ride_with_the_devil.htm	Insgesamt tontechnisch jedoch guter Durchschnitt , auch aufgrund der sauberen Sprachausgabe und der vielseitigen und dynamischen Anspielung der getrennten Kanäle .	s	s	s	s	+	+	+	+
266	http://www.feuerwerk-forum.de/archive/index.php/t-522.html	Vielleicht gibt das einen besseren Überblick über die Vielfalt der wirklich sehenswerten Silvestereffekte .	s	s	s	s	0	+	+	+
267	http://www.vatican.va/holy_father/pius_xii/encyclicals/documents/hf_p-xii_enc_08091957_miranda-prorsus_ge.html	Ein wunderbarer Film , kein Zweifel !	s	s	s	s	+	+	+	+
268	http://www.sinn-haft.at/archiv/archive/nr_13_luxus/umgekehrte_apokalyptik.html	Einen massiven Aufschwung gewann sie durch die Aufdeckung der stalinistischen Verbrechen und den ökonomische Niedergang des in den 50er Jahren noch als überlegen erlebten Sowjetimperiums .	o	o	o	o	+	-	+	+
269	http://www.der-farang.com/?article=2004/07/dasspiel	Ehrfurcht erregender Stil , der den Neuling leicht schaudern lässt .	s	s	s	s	+	+	+	+
270	http://www.webheimat.at/aktiv/Gesundheit-Wellness/Archiv-Gesundheit-Wellness/Hepatitis-C-Therapie.html	Andererseits würde ich mir wünschen , offen darüber sprechen zu können , um anderen Betroffenen Mut zu machen , sich einer Therapie zu unterziehen .	s	s	s	s	-	-	-	-
